RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$40,231,758"
2,"Chris Paul, PG",Oklahoma City Thunder,"$38,506,482"
3,"Russell Westbrook, PG",Houston Rockets,"$38,506,482"
4,"James Harden, SG",Houston Rockets,"$38,199,000"
5,"Kevin Durant, PF",Brooklyn Nets,"$38,199,000"
6,"John Wall, PG",Houston Rockets,"$38,199,000"
7,"LeBron James, SF",Los Angeles Lakers,"$37,436,858"
8,"Kyle Lowry, PG",Toronto Raptors,"$34,996,296"
9,"Blake Griffin, PF",Detroit Pistons,"$34,449,964"
10,"Tobias Harris, PF",Philadelphia 76ers,"$32,742,000"
11,"Kemba Walker, PG",Boston Celtics,"$32,742,000"
12,"Jimmy Butler, SF",Miami Heat,"$32,742,000"
13,"Kawhi Leonard, SF",LA Clippers,"$32,742,000"
14,"Klay Thompson, SG",Golden State Warriors,"$32,742,000"
15,"Gordon Hayward, SF",Boston Celtics,"$32,700,690"
16,"Mike Conley, PG",Utah Jazz,"$32,511,624"
17,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
18,"Khris Middleton, SF",Milwaukee Bucks,"$30,603,448"
19,"Paul George, SG",LA Clippers,"$30,560,700"
20,"Paul Millsap, PF",Denver Nuggets,"$30,350,000"
21,"Damian Lillard, PG",Portland Trail Blazers,"$29,802,321"
22,"Kevin Love, PF",Cleveland Cavaliers,"$28,942,830"
23,"Nikola Vucevic, C",Orlando Magic,"$28,000,000"
24,"Al Horford, C",Philadelphia 76ers,"$28,000,000"
25,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
26,"CJ McCollum, SG",Portland Trail Blazers,"$27,556,959"
27,"Joel Embiid, C",Philadelphia 76ers,"$27,504,630"
28,"Andrew Wiggins, SF",Golden State Warriors,"$27,504,630"
29,"Nikola Jokic, C",Denver Nuggets,"$27,504,630"
30,"Devin Booker, SG",Phoenix Suns,"$27,285,000"
31,"D'Angelo Russell, PG",Minnesota Timberwolves,"$27,285,000"
32,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$27,285,000"
33,"Kristaps Porzingis, C",Dallas Mavericks,"$27,285,000"
34,"Otto Porter Jr., SF",Chicago Bulls,"$27,250,575"
35,"Bradley Beal, SG",Washington Wizards,"$27,093,019"
36,"Andre Drummond, C",Cleveland Cavaliers,"$27,093,019"
37,"Anthony Davis, PF",Los Angeles Lakers,"$27,093,018"
38,"Hassan Whiteside, C",Portland Trail Blazers,"$27,093,017"
39,"Jrue Holiday, PG",New Orleans Pelicans,"$26,231,111"
40,"LaMarcus Aldridge, F",San Antonio Spurs,"$26,000,000"
41,"Steven Adams, C",Oklahoma City Thunder,"$25,842,697"
42,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$25,842,697"
43,"Marc Gasol, C",Toronto Raptors,"$25,595,700"
44,"Nicolas Batum, PF",Charlotte Hornets,"$25,565,217"
45,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
46,"Harrison Barnes, SF",Sacramento Kings,"$24,147,727"
47,"Serge Ibaka, C",Toronto Raptors,"$23,271,604"
48,"Rudy Gobert, C",Utah Jazz,"$23,241,573"
49,"Danilo Gallinari, PF",Oklahoma City Thunder,"$22,615,559"
50,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
51,"Tim Hardaway Jr., SF",Dallas Mavericks,"$20,025,127"
52,"Malcolm Brogdon, PG",Indiana Pacers,"$20,000,000"
53,"Terry Rozier, SG",Charlotte Hornets,"$19,894,737"
54,"Aaron Gordon, PF",Orlando Magic,"$19,863,636"
55,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
56,"Kent Bazemore, SF",Sacramento Kings,"$19,269,662"
57,"Goran Dragic, PG",Miami Heat,"$19,217,900"
58,"Jeff Teague, PG",Atlanta Hawks,"$19,000,000"
59,"Evan Turner, G",Atlanta Hawks,"$18,606,556"
60,"Tristan Thompson, C",Cleveland Cavaliers,"$18,539,130"
61,"Draymond Green, PF",Golden State Warriors,"$18,539,130"
62,"Allen Crabbe, G",Minnesota Timberwolves,"$18,500,000"
63,"Julius Randle, PF",New York Knicks,"$18,000,000"
64,"Myles Turner, C",Indiana Pacers,"$18,000,000"
65,"Gary Harris, SG",Denver Nuggets,"$17,839,286"
66,"Derrick Favors, C",New Orleans Pelicans,"$17,650,000"
67,"Andre Iguodala, F",Miami Heat,"$17,185,185"
68,"Evan Fournier, SG",Orlando Magic,"$17,150,000"
69,"Bismack Biyombo, C",Charlotte Hornets,"$17,000,000"
70,"Bojan Bogdanovic, SF",Utah Jazz,"$17,000,000"
71,"Timofey Mozgov, C",Orlando Magic,"$16,720,000"
72,"Gorgui Dieng, C",Memphis Grizzlies,"$16,229,213"
73,"Ricky Rubio, PG",Phoenix Suns,"$16,200,000"
74,"Jonas Valanciunas, C",Memphis Grizzlies,"$16,000,000"
75,"Brandon Knight, G",Detroit Pistons,"$15,643,750"
76,"Kelly Oubre Jr., SG",Phoenix Suns,"$15,625,000"
77,"Eric Bledsoe, SG",Milwaukee Bucks,"$15,625,000"
78,"Dennis Schroder, PG",Oklahoma City Thunder,"$15,500,000"
79,"Ian Mahinmi, C",Washington Wizards,"$15,450,051"
80,"James Johnson, PF",Minnesota Timberwolves,"$15,349,400"
81,"Bobby Portis, C",New York Knicks,"$15,000,000"
82,"Marcus Morris Sr., SF",LA Clippers,"$15,000,000"
83,"Clint Capela, C",Houston Rockets,"$14,896,552"
84,"Luke Babbitt, F",Miami Heat,"$14,651,700"
85,"Danny Green, SF",Los Angeles Lakers,"$14,634,146"
86,"Rudy Gay, SF",San Antonio Spurs,"$14,500,000"
87,"Cody Zeller, C",Charlotte Hornets,"$14,471,910"
88,"Eric Gordon, SG",Houston Rockets,"$14,057,730"
89,"Mason Plumlee, C",Denver Nuggets,"$14,041,096"
90,"Marcin Gortat, C",LA Clippers,"$13,565,218"
91,"JJ Redick, SG",New Orleans Pelicans,"$13,486,300"
92,"Jordan Clarkson, PG",Utah Jazz,"$13,437,500"
93,"Dewayne Dedmon, C",Atlanta Hawks,"$13,333,333"
94,"Jusuf Nurkic, C",Portland Trail Blazers,"$13,125,000"
95,"Justise Winslow, PF",Miami Heat,"$13,000,000"
96,"Thaddeus Young, PF",Chicago Bulls,"$12,900,000"
97,"Will Barton, SF",Denver Nuggets,"$12,776,786"
98,"Courtney Lee, G",Dallas Mavericks,"$12,759,670"
99,"Solomon Hill, SF",Miami Heat,"$12,758,781"
100,"Larry Nance Jr., PF",Cleveland Cavaliers,"$12,727,273"
101,"Kelly Olynyk, PF",Miami Heat,"$12,667,885"
102,"Marcus Smart, PG",Boston Celtics,"$12,553,571"
103,"Miles Plumlee, C",Memphis Grizzlies,"$12,500,000"
104,"Terrence Ross, SG",Orlando Magic,"$12,500,000"
105,"Nikola Mirotic, F",Milwaukee Bucks,"$12,500,000"
106,"Patty Mills, PG",San Antonio Spurs,"$12,428,571"
107,"Tyreke Evans, G",Indiana Pacers,"$12,400,000"
108,"Patrick Beverley, PG",LA Clippers,"$12,345,680"
109,"Trevor Ariza, SF",Portland Trail Blazers,"$12,195,122"
110,"Brook Lopez, C",Milwaukee Bucks,"$12,093,023"
111,"Cory Joseph, PG",Sacramento Kings,"$12,000,000"
112,"Joe Ingles, SG",Utah Jazz,"$11,954,546"
113,"Zach Randolph, F",Dallas Mavericks,"$11,692,308"
114,"Tony Snell, SF",Detroit Pistons,"$11,392,857"
115,"Robert Covington, PF",Houston Rockets,"$11,301,219"
116,"Meyers Leonard, C",Miami Heat,"$11,286,516"
117,"Omer Asik, C",Chicago Bulls,"$11,286,516"
118,"Maurice Harkless, SF",New York Knicks,"$11,011,234"
119,"T.J. Warren, SF",Indiana Pacers,"$10,810,000"
120,"Andre Roberson, F",Oklahoma City Thunder,"$10,740,740"
121,"Spencer Dinwiddie, PG",Brooklyn Nets,"$10,605,600"
122,"Jeremy Lamb, SG",Indiana Pacers,"$10,500,000"
123,"Dwight Powell, C",Dallas Mavericks,"$10,259,375"
124,"Norman Powell, SF",Toronto Raptors,"$10,116,576"
125,"Josh Richardson, SG",Philadelphia 76ers,"$10,116,576"
126,"Darren Collison, G",Indiana Pacers,"$10,000,000"
127,"Tomas Satoransky, SG",Chicago Bulls,"$10,000,000"
128,"DeAndre Jordan, C",Brooklyn Nets,"$9,881,598"
129,"Zion Williamson, PF",New Orleans Pelicans,"$9,757,440"
130,"Markelle Fultz, PG",Orlando Magic,"$9,745,200"
131,"John Henson, F",Detroit Pistons,"$9,732,396"
132,"Matthew Dellavedova, PG",Cleveland Cavaliers,"$9,607,500"
133,"Dante Exum, PG",Cleveland Cavaliers,"$9,600,000"
134,"Deandre Ayton, C",Phoenix Suns,"$9,562,920"
135,"Delon Wright, SG",Dallas Mavericks,"$9,473,684"
136,"Fred VanVleet, SG",Toronto Raptors,"$9,346,153"
137,"Jerami Grant, SF",Denver Nuggets,"$9,346,153"
138,"Tyus Jones, PG",Memphis Grizzlies,"$9,258,000"
139,"Al-Farouq Aminu, PF",Orlando Magic,"$9,258,000"
140,"George Hill, PG",Milwaukee Bucks,"$9,133,907"
141,"Kyle Anderson, SF",Memphis Grizzlies,"$9,073,050"
142,"Taj Gibson, C",New York Knicks,"$9,000,000"
143,"Ja Morant, PG",Memphis Grizzlies,"$8,730,240"
144,"Lonzo Ball, PG",New Orleans Pelicans,"$8,719,320"
145,"E'Twaun Moore, G",New Orleans Pelicans,"$8,664,928"
146,"Marvin Bagley III, PF",Sacramento Kings,"$8,556,120"
147,"Bogdan Bogdanovic, SG",Sacramento Kings,"$8,529,386"
148,"P.J. Tucker, PF",Houston Rockets,"$8,349,039"
149,"C.J. Miles, SG",Washington Wizards,"$8,333,333"
150,"Cristiano Felicio, PF",Chicago Bulls,"$8,156,500"
151,"Ben Simmons, PG",Philadelphia 76ers,"$8,113,930"
152,"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,"$8,089,282"
153,"Thomas Bryant, C",Washington Wizards,"$8,000,000"
154,"Elfrid Payton, PG",New York Knicks,"$8,000,000"
155,"Wayne Ellington, SG",New York Knicks,"$8,000,000"
156,"Maxi Kleber, PF",Dallas Mavericks,"$8,000,000"
157,"Lou Williams, SG",LA Clippers,"$8,000,000"
158,"RJ Barrett, SG",New York Knicks,"$7,839,960"
159,"Jayson Tatum, SF",Boston Celtics,"$7,830,000"
160,"Jae Crowder, PF",Miami Heat,"$7,815,533"
161,"Luka Doncic, PG",Dallas Mavericks,"$7,683,360"
162,"Joe Harris, SF",Brooklyn Nets,"$7,666,667"
163,"Darrell Arthur, F",Phoenix Suns,"$7,464,912"
164,"Seth Curry, SG",Dallas Mavericks,"$7,461,380"
165,"Doug McDermott, SF",Indiana Pacers,"$7,333,333"
166,"Langston Galloway, SG",Detroit Pistons,"$7,333,333"
167,"Derrick Rose, PG",Detroit Pistons,"$7,317,073"
168,"Brandon Ingram, SF",New Orleans Pelicans,"$7,265,485"
169,"D.J. Augustin, PG",Orlando Magic,"$7,250,000"
170,"Lance Thomas, F",Brooklyn Nets,"$7,119,650"
171,"De'Andre Hunter, SF",Atlanta Hawks,"$7,068,360"
172,"Josh Jackson, SG",Memphis Grizzlies,"$7,059,480"
173,"Davis Bertans, SF",Washington Wizards,"$7,000,000"
174,"Ersan Ilyasova, PF",Milwaukee Bucks,"$7,000,000"
175,"Darius Miller, SF",Oklahoma City Thunder,"$7,000,000"
176,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$6,927,480"
177,"Nemanja Bjelica, PF",Sacramento Kings,"$6,825,000"
178,"Jaylen Brown, SG",Boston Celtics,"$6,534,829"
179,"Jabari Parker, PF",Sacramento Kings,"$6,500,000"
180,"Ivica Zubac, C",LA Clippers,"$6,481,482"
181,"Darius Garland, PG",Cleveland Cavaliers,"$6,400,920"
182,"De'Aaron Fox, PG",Sacramento Kings,"$6,392,760"
183,"Milos Teodosic, G",LA Clippers,"$6,300,000"
184,"Trae Young, PG",Atlanta Hawks,"$6,273,000"
185,"Wesley Johnson, F",Washington Wizards,"$6,134,520"
186,"Ish Smith, PG",Washington Wizards,"$6,000,000"
187,"Montrezl Harrell, C",LA Clippers,"$6,000,000"
188,"Marco Belinelli, G",San Antonio Spurs,"$5,846,154"
189,"Jarrett Culver, G",Minnesota Timberwolves,"$5,813,640"
190,"Jonathan Isaac, PF",Orlando Magic,"$5,806,440"
191,"Rodney Hood, SG",Portland Trail Blazers,"$5,718,000"
192,"Jonathon Simmons, G",Washington Wizards,"$5,700,000"
193,"Mo Bamba, C",Orlando Magic,"$5,697,600"
194,"Trey Lyles, PF",San Antonio Spurs,"$5,500,000"
195,"Alex Abrines, G",Oklahoma City Thunder,"$5,455,236"
196,"Aron Baynes, C",Phoenix Suns,"$5,453,280"
197,"Jason Smith, F",New Orleans Pelicans,"$5,450,000"
198,"Kris Dunn, PG",Chicago Bulls,"$5,348,007"
199,"Coby White, PG",Chicago Bulls,"$5,307,120"
200,"Lauri Markkanen, PF",Chicago Bulls,"$5,300,400"
201,"Alexis Ajinca, C",LA Clippers,"$5,285,394"
202,"Wendell Carter Jr., C",Chicago Bulls,"$5,201,400"
203,"Daniel Theis, C",Boston Celtics,"$5,000,000"
204,"Dirk Nowitzki, F",Dallas Mavericks,"$5,000,000"
205,"Kyle Singler, F",Oklahoma City Thunder,"$4,996,000"
206,"Jaxson Hayes, C",New Orleans Pelicans,"$4,862,040"
207,"Buddy Hield, SG",Sacramento Kings,"$4,861,208"
208,"Frank Ntilikina, PG",New York Knicks,"$4,855,800"
209,"Rodney McGruder, SG",LA Clippers,"$4,807,693"
210,"Richaun Holmes, C",Sacramento Kings,"$4,767,000"
211,"Frank Kaminsky, PF",Phoenix Suns,"$4,767,000"
212,"Mike Scott, PF",Philadelphia 76ers,"$4,767,000"
213,"Robin Lopez, C",Milwaukee Bucks,"$4,767,000"
214,"Avery Bradley, PG",Los Angeles Lakers,"$4,767,000"
215,"Justin Holiday, SF",Indiana Pacers,"$4,767,000"
216,"JaMychal Green, PF",LA Clippers,"$4,767,000"
217,"Ed Davis, C",Utah Jazz,"$4,767,000"
218,"Garrett Temple, SF",Brooklyn Nets,"$4,767,000"
219,"Enes Kanter, C",Boston Celtics,"$4,767,000"
220,"Collin Sexton, PG",Cleveland Cavaliers,"$4,764,960"
221,"Rui Hachimura, PF",Washington Wizards,"$4,469,160"
222,"Kevon Looney, C",Golden State Warriors,"$4,464,226"
223,"Dennis Smith Jr., PG",New York Knicks,"$4,463,640"
224,"Jamal Murray, PG",Denver Nuggets,"$4,444,746"
225,"Kevin Knox II, SF",New York Knicks,"$4,380,120"
226,"Luc Mbah a Moute, F",Houston Rockets,"$4,320,500"
227,"Cam Reddish, SF",Atlanta Hawks,"$4,245,720"
228,"Zach Collins, PF",Portland Trail Blazers,"$4,240,200"
229,"Mikal Bridges, SF",Phoenix Suns,"$4,161,000"
230,"Alex Len, C",Sacramento Kings,"$4,160,000"
231,"Nicolo Melli, PF",New Orleans Pelicans,"$4,102,564"
232,"Cameron Johnson, SF",Phoenix Suns,"$4,033,440"
233,"Malik Monk, SG",Charlotte Hornets,"$4,028,400"
234,"Patrick McCaw, SF",Toronto Raptors,"$4,000,000"
235,"JaVale McGee, C",Los Angeles Lakers,"$4,000,000"
236,"Dorian Finney-Smith, PF",Dallas Mavericks,"$4,000,000"
237,"Reggie Bullock, SF",New York Knicks,"$4,000,000"
238,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$3,952,920"
239,"P.J. Washington, PF",Charlotte Hornets,"$3,831,840"
240,"Luke Kennard, SG",Detroit Pistons,"$3,827,160"
241,"Miles Bridges, SF",Charlotte Hornets,"$3,755,400"
242,"Jakob Poeltl, C",San Antonio Spurs,"$3,754,886"
243,"Tyler Herro, PG",Miami Heat,"$3,640,200"
244,"Donovan Mitchell, SG",Utah Jazz,"$3,635,760"
245,"Stanley Johnson, F",Toronto Raptors,"$3,623,000"
246,"Jake Layman, SF",Minnesota Timberwolves,"$3,581,986"
247,"Thon Maker, F",Detroit Pistons,"$3,569,643"
248,"Jerome Robinson, SG",Washington Wizards,"$3,567,720"
249,"Allonzo Trier, G",New York Knicks,"$3,551,000"
250,"Danuel House Jr., SF",Houston Rockets,"$3,540,000"
251,"Domantas Sabonis, PF",Indiana Pacers,"$3,529,555"
252,"Michael Beasley, F",Brooklyn Nets,"$3,500,000"
253,"DeMarcus Cousins, C",LA Clippers,"$3,500,000"
254,"T.J. McConnell, PG",Indiana Pacers,"$3,500,000"
255,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
256,"Dario Saric, PF",Phoenix Suns,"$3,481,986"
257,"Taurean Prince, PF",Brooklyn Nets,"$3,481,986"
258,"Romeo Langford, SG",Boston Celtics,"$3,458,400"
259,"Bam Adebayo, C",Miami Heat,"$3,454,080"
260,"Michael Porter Jr., SF",Denver Nuggets,"$3,389,400"
261,"Denzel Valentine, SG",Chicago Bulls,"$3,377,569"
262,"Juancho Hernangomez, F",Minnesota Timberwolves,"$3,321,030"
263,"Sekou Doumbouya, SF",Detroit Pistons,"$3,285,120"
264,"Justin Jackson, SF",Dallas Mavericks,"$3,280,920"
