RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Precious Achiuwa,Tor,F,22.15,13,24.1,50.3,19.2,10.6,26,0.538,99,0.374,16,0.188,0.361,0.384,7.5,8.7,19.6,1.5,8.7,0.69,0.77,1.15,7.6,89.2,96.8
,Steven Adams,Mem,C,28.32,11,25.3,52.8,14.1,17,23,0.783,68,0.544,0,0,0.544,0.589,8.4,8.6,18.1,2.6,14.4,0.64,0.64,1.45,9.1,125,110.9
,Bam Adebayo,Mia,C-F,24.32,11,32.7,68.2,26.9,15.6,76,0.829,156,0.513,0,0,0.513,0.589,20.3,11.5,19,2.3,11.4,1.45,0.45,3.18,9.9,110.8,92.9
,Santi Aldama,Mem,F-C,20.84,3,7.1,14.9,26,0,3,0.667,6,0.5,6,0.167,0.375,0.413,3.7,1.7,12.4,0,0,0,0,0,0,97.8,105
,LaMarcus Aldridge,Bro,C-F,36.32,11,20.2,42,23.3,6.9,22,0.727,86,0.64,13,0.462,0.646,0.662,13.1,5.5,14,0.8,7.5,0.27,1.18,0.73,7.6,126.4,96.2
,Nickeil Alexander-Walker,Nor,G,23.2,12,32.2,67,23.6,7.8,22,0.818,94,0.468,97,0.268,0.435,0.458,15.3,4.9,8,2.8,14.7,1.25,0.58,1.42,7.4,98,111.7
,Grayson Allen,Mil,G,26.1,12,29.3,61.1,18.5,4.6,20,0.95,32,0.531,105,0.419,0.606,0.634,15.4,3.9,6.9,1.6,8.3,0.83,0.42,0.58,6.3,127.6,106.3
,Jarrett Allen,Cle,C,23.56,12,33,68.6,16.7,14.5,48,0.583,106,0.689,3,0.333,0.683,0.68,14.8,11.5,18.7,1.8,8.8,1.33,1,1.83,8.2,127.2,100.5
,Jose Alvarado,Nor,G,23.59,2,3.5,7.2,24.3,0,0,0,2,0.5,2,0.5,0.625,0.625,2.5,0,0,0.5,29.5,0.5,0,0,0,,
,Kyle Anderson,Mem,F-G,28.15,11,22.8,47.4,17.3,9.6,13,0.692,62,0.403,26,0.423,0.472,0.491,8.4,5.9,13.8,2.7,16.9,0.91,0.55,0.91,9,109.6,107.9
,Giannis Antetokounmpo,Mil,F,26.93,12,32.9,68.5,33.9,11.5,109,0.688,174,0.563,56,0.286,0.53,0.574,26.6,11.8,18.6,6,34.1,1.08,1.75,3,15,116.4,97.2
,Thanasis Antetokounmpo,Mil,F,29.32,11,16.3,34,14,15.3,11,0.636,42,0.5,3,0,0.467,0.492,4.5,4.3,13.5,1.2,10.2,0.82,0.09,0.82,7,105.6,95.7
,Carmelo Anthony,Lal,F,37.46,12,29.2,60.9,20.1,5.9,25,0.8,68,0.485,80,0.5,0.628,0.648,17.2,3.8,6.8,1,5.2,0.75,0.92,0.83,5.5,123.6,105.5
,Cole Anthony,Orl,G,21.49,12,33.9,70.6,25,14.4,40,0.85,92,0.489,92,0.391,0.538,0.575,19.3,7.2,11.2,4.9,26,1.25,0.25,2.83,10.4,109.4,103.6
,OG Anunoby,Tor,F,24.32,13,37,77.2,23.7,7.8,32,0.844,139,0.468,94,0.351,0.491,0.518,19.7,5.7,8.4,3,13,1.46,0.62,1.62,7.5,110.5,103.6
,D.J. Augustin,Hou,G,34.01,10,11.8,24.5,14.9,21.4,9,1,7,0.286,22,0.5,0.638,0.698,4.6,0.4,1.8,1.6,20.4,0.1,0,0.9,4.9,120.6,110.7
,Deni Avdija,Was,F,20.86,11,21.4,44.5,12.1,12.4,22,0.545,26,0.5,21,0.286,0.468,0.494,5.1,5.1,12.6,1.4,8.6,0.55,0.91,0.73,6.2,106.1,97.2
,Joel Ayayi,Was,G,21.69,1,3.5,7.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Deandre Ayton,Pho,C,23.31,6,29.1,60.6,19.4,10.2,13,0.615,61,0.607,4,0.25,0.592,0.601,14.2,11.3,20.8,1.2,6,1.33,0.67,1.33,7.9,118.2,97.4
,Udoka Azubuike,Uta,C-F,22.15,2,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Marvin Bagley III,Sac,F,22.67,1,10.5,21.9,12.2,33.3,0,0,2,0.5,0,0,0.5,0.5,2,4,20.1,0,0,0,0,1,0,61.6,98.9
,LaMelo Ball,Cha,G,20.23,13,31.4,65.5,27.1,12.7,30,0.933,128,0.461,93,0.398,0.518,0.549,19.8,6.8,11.2,7.1,35.5,1.77,0.38,2.62,12.5,112.5,103.9
,Lonzo Ball,Chi,G,24.04,11,34.8,72.5,17.2,17.4,6,0.833,45,0.356,76,0.447,0.554,0.562,12.6,5.5,8.4,4.5,17.8,1.64,0.82,2.36,7.8,105.6,100.5
,Mo Bamba,Orl,C,23.5,12,30.9,64.3,15.8,14.8,24,0.708,58,0.569,47,0.404,0.586,0.606,11.7,8.8,15.2,1.8,9.6,0.92,2.17,1.67,7.4,115.9,102.1
,Desmond Bane,Mem,G,23.38,11,29.3,61.1,21.5,10.3,13,0.923,63,0.571,80,0.338,0.535,0.555,15,3.4,6.1,2.2,11.3,0.82,0.18,1.55,6.6,108.3,111
,Dalano Banton,Tor,F,22.01,13,12.5,26,17.4,16.6,14,0.643,40,0.575,9,0.333,0.561,0.58,4.9,2.4,10.4,1.3,15.7,0.62,0.38,0.85,7.9,110.4,97.3
,Harrison Barnes,Sac,F,29.45,12,36.7,76.4,21.1,11,83,0.867,84,0.548,73,0.425,0.589,0.664,21.4,8.6,12.3,2.6,10.4,1.08,0.08,2,8.5,128.4,109.2
,Scottie Barnes,Tor,F,20.28,11,34.9,72.7,20.7,12.9,33,0.758,138,0.551,10,0.2,0.534,0.563,16.6,8.5,13.3,2.7,12.5,1,0.73,2.18,8.3,113.7,102.2
,RJ Barrett,Nyk,F-G,21.41,12,34.1,71.1,23.3,12,39,0.718,102,0.49,72,0.347,0.503,0.531,16.9,5.7,8.8,2.5,11.5,0.42,0.33,2.17,7.3,102.6,107.6
,Will Barton,Den,G,30.85,11,33.3,69.4,21.8,10.5,15,0.733,88,0.534,67,0.433,0.584,0.594,17.5,4.6,7.6,4.4,20.9,1.36,0.64,1.73,8.5,115.2,102.5
,Charles Bassey,Phi,C-F,21.04,4,2.9,5.9,19.8,0,0,0,3,0.667,2,0,0.4,0.4,1,0.8,14.4,0,0,0,0.5,0,0,,
,Keita Bates-Diop,San,F,25.8,9,13.8,28.7,11.9,14.4,4,1,21,0.571,7,0.143,0.482,0.521,3.4,3.1,11.9,0.2,2,0.44,0.56,0.56,3.7,97.8,104.3
,Nicolas Batum,Lac,G-F,32.91,10,28.8,59.9,13.2,6.8,7,0.429,19,0.737,60,0.467,0.709,0.701,11.5,6.3,11.3,1.6,8.1,1.3,0.9,0.6,6.8,131.8,100.3
,Kent Bazemore,Lal,G-F,32.37,12,25.1,52.2,10.7,9.1,12,0.75,29,0.379,36,0.333,0.446,0.477,5.6,2.3,4.7,1.1,5.4,1.08,0.17,0.58,3.9,97.2,100.9
,Darius Bazley,Okc,F-G,21.42,10,27.9,58.2,20.5,15.6,28,0.643,57,0.526,44,0.273,0.475,0.503,11.4,6.8,12.1,1.6,9.5,0.9,0.8,2.1,7.1,93.6,104.8
,Bradley Beal,Was,G,28.38,10,36,75,33.5,14.6,40,0.975,152,0.474,64,0.25,0.444,0.494,23.1,5.5,8.1,5.6,27.1,1.2,0.5,4,9.9,96.2,102
,Malik Beasley,Min,G,24.96,10,25.6,53.4,17.6,6.4,4,0.5,29,0.379,72,0.319,0.45,0.453,9.3,2.5,5,1.8,10.8,0.8,0.2,0.7,5.4,98.9,115.2
,DeAndre' Bembry,Bro,G-F,27.36,11,14.6,30.4,13.3,16.6,7,0.857,27,0.556,10,0.7,0.689,0.711,5.2,2,7.1,0.9,9.2,1,0.27,0.73,5.8,120.9,90.2
,Davis Bertans,Was,F,29,7,16.9,35.2,16.4,6.8,7,1,8,0.375,30,0.333,0.474,0.523,6.1,1.7,5.4,0.6,4.8,0.14,0,0.43,4.4,104.5,100.6
,Patrick Beverley,Min,G,33.33,8,26.2,54.6,12.7,17,6,0.667,25,0.52,26,0.385,0.549,0.559,7.5,4.6,9,5.3,29.8,0.63,1,1.38,8.7,122.9,100.3
,Saddiq Bey,Det,F,22.59,10,33.1,68.9,20.1,7.6,16,0.688,77,0.468,61,0.279,0.446,0.462,13.4,7,11.4,3,15.8,1.1,0.3,1.2,7.9,102.6,108.9
,Khem Birch,Tor,C,29.12,10,23.8,49.5,12.1,13.4,21,0.81,44,0.523,5,0,0.469,0.541,6.3,5.9,13.5,1.5,8.7,0.8,0.3,0.9,6.4,123.6,105
,Goga Bitadze,Ind,C-F,22.32,9,6.9,14.4,20,13.9,4,1,11,0.455,12,0.25,0.413,0.464,2.6,2.2,17.6,0.2,4.5,0.78,0.22,0.44,6.1,101.5,75.5
,Nemanja Bjelica,Gol,F,33.51,11,15.5,32.3,18,16.7,11,0.818,32,0.563,23,0.522,0.655,0.677,7.4,4.7,16.2,1.6,15.3,0.91,0.27,1.09,9.9,123.8,91.7
,Eric Bledsoe,Lac,G,31.93,11,28.1,58.6,19.7,17.7,26,0.808,66,0.47,39,0.205,0.41,0.459,9.7,3.6,6.7,4.1,20.6,1.73,0.82,2.27,7.4,93.8,99.1
,Bojan Bogdanovic,Uta,F,32.57,12,30.7,64,22,8.5,51,0.922,88,0.5,62,0.323,0.493,0.565,16.3,4.1,7.2,1.3,6.7,0.5,0,1.33,5.8,115.1,107
,Bogdan Bogdanovic,Atl,G,29.23,11,29.7,61.8,17.2,10,8,1,55,0.509,59,0.407,0.561,0.579,12.4,4,7.2,2.2,10.8,0.73,0.18,1.18,6.4,113.2,108.4
,Bol Bol,Den,C-F,21.99,2,5.1,10.6,26,0,0,0,5,0.6,1,0,0.5,0.5,3,1.5,16.1,0.5,18.2,0.5,0,0,10.3,106,75.4
,Leandro Bolmaro,Min,F,21.17,3,3,6.3,26.6,34,2,1,1,0,2,0,0,0.258,0.7,0.7,11.2,0,0,0,0,0.67,0,,
,Isaac Bonga,Tor,G,22.01,3,2.2,4.7,6.4,0,0,0,1,1,0,0,1,1,0.7,0.7,16.2,0.7,44,0.33,0,0,12.7,,
,Devin Booker,Pho,G,25.03,10,33.5,69.9,31.2,13.2,43,0.814,128,0.477,64,0.359,0.497,0.536,22.6,6.3,10,5.3,24.7,1.1,0.3,3.2,10.9,103.8,102.6
,Brandon Boston Jr.,Lac,G,19.96,4,3.3,6.9,16,0,2,0.5,4,0.25,0,0,0.25,0.307,0.8,0.3,3.9,0.3,10,0.25,0,0,5,,
,Chris Boucher,Tor,F-C,28.84,13,13.6,28.4,21.5,10,15,0.733,38,0.553,36,0.194,0.426,0.459,5.7,3.6,14.4,0.2,1.7,0.69,0.85,0.69,4.7,96.6,98.1
,James Bouknight,Cha,G,21.15,5,1.6,3.3,25.8,0,0,0,4,0,1,0,0,0,0,0.4,12.9,0,0,0,0,0,0,,
,Avery Bradley,Lal,G,30.96,11,22.4,46.8,11.3,9,0,0,28,0.464,33,0.424,0.557,0.557,6.2,1.9,4.4,0.8,4.8,0.55,0.18,0.55,3.8,108.3,106.9
,Tony Bradley,Chi,C-F,23.84,8,10,20.9,11,10,0,0,18,0.5,0,0,0.5,0.5,2.3,3.8,20.1,0.4,5.1,0,1,0.25,6.1,129.8,95.2
,Ignas Brazdeikis,Orl,F,22.84,7,7.6,15.9,17,14.3,0,0,7,0.429,11,0.182,0.333,0.333,1.7,1.3,8.9,0.6,11.3,0.14,0,0.43,5.8,73.7,103.3
,Miles Bridges,Cha,F,23.65,13,36.2,75.4,24,8,59,0.78,130,0.508,96,0.344,0.511,0.55,21.3,7.5,10.8,3.5,14.5,1.69,0.85,1.69,9.1,112.4,108.3
,Mikal Bridges,Pho,F,25.2,10,33.4,69.6,15.9,6.5,12,0.75,72,0.653,38,0.395,0.632,0.642,14.8,3.3,5.3,1.7,7.2,0.7,0.9,0.8,5.2,122.7,106.6
,Oshae Brissett,Ind,F-G,23.4,8,12.8,26.6,16.6,17.9,5,0.2,16,0.563,14,0.286,0.5,0.481,3.9,2.4,10.2,0.4,4.1,0.25,0.13,0.88,4.9,84.7,103.7
,Malcolm Brogdon,Ind,G,28.92,8,36.6,76.3,28.3,12,41,0.927,105,0.533,46,0.283,0.5,0.559,23.6,6.9,10.3,6.4,28.3,0.88,0.88,2.88,11.1,114.1,107
,Armoni Brooks,Hou,G,23.44,8,8.1,16.8,19.6,0,3,1,6,0.667,23,0.261,0.448,0.478,3.6,0.8,4.9,0.4,7.5,0.38,0,0,5.2,107.4,101
,Dillon Brooks,Mem,G-F,25.81,1,26.1,54.4,30.5,10.5,0,0,10,0.4,7,0.571,0.588,0.588,20,4,8.1,6,42.1,2,0,2,12,118.1,98.1
,Greg Brown III,Por,F,20.2,6,5,10.4,28.8,9.9,5,0.4,12,0.5,4,0,0.375,0.385,2.3,2,21.2,0.7,20.3,0.17,0.33,0.33,11.8,92.4,95.7
,Troy Brown Jr.,Chi,G-F,22.29,8,8.9,18.4,16.1,3.9,2,0.5,13,0.462,11,0.364,0.5,0.502,3.1,1.1,6.8,0.3,4,0.13,0,0.13,4.5,104.5,99.9
,Bruce Brown,Bro,G-F,25.24,11,26,54.2,14.7,9.5,4,0.75,66,0.5,18,0.278,0.482,0.49,7.6,3.4,6.7,0.7,4.1,1.27,0.73,0.82,4,93.8,99.7
,Jaylen Brown,Bos,G-F,25.05,8,36.5,76,28.9,11.9,41,0.78,94,0.553,58,0.397,0.569,0.603,25.6,6.1,9,2.5,12.8,1.25,0.5,2.88,8,109.1,100.5
,Moses Brown,Dal,C,22.08,6,2.9,6.1,11.6,0,6,0.333,2,1,0,0,1,0.647,1,0.8,14.8,0,0,0,0.33,0,0,,
,Sterling Brown,Dal,G-F,26.75,9,12,25,15.4,18.5,2,1,7,0.429,23,0.174,0.3,0.324,2.2,3.2,14,0.7,7.7,0.22,0.11,0.78,5.7,69.3,96.5
,Jalen Brunson,Dal,G,25.2,11,28.7,59.7,21.7,10.3,34,0.765,90,0.556,35,0.343,0.544,0.579,14.7,5,9.1,4.7,28,0.73,0.09,1.45,9.8,119,104.2
,Reggie Bullock,Dal,G-F,30.66,11,20.6,42.9,14.8,6.6,5,0.6,17,0.588,52,0.327,0.514,0.52,6.7,2.5,6.2,0.6,4.6,0.09,0.09,0.45,4.2,102.5,106.9
,Trey Burke,Dal,G,29,4,7.7,16,25.4,22.5,4,1,7,0.429,5,0.4,0.5,0.581,4,0.5,3.4,1,20.9,0.5,0,1,6.5,99.5,110.8
,Alec Burks,Nyk,G,30.32,12,19,39.7,17,5.6,20,0.75,29,0.379,46,0.413,0.527,0.561,7.8,2.8,7.9,1.6,12.1,0.75,0.42,0.42,6.9,118.1,105.2
,Jared Butler,Uta,G,21.21,10,4.6,9.6,24.9,22.4,4,0.5,8,0.375,11,0.182,0.316,0.337,1.4,0.6,7,0.6,18.2,0,0.5,0.6,6.9,67.1,89.9
,Jimmy Butler,Mia,F,32.16,11,33,68.8,27.2,9.2,93,0.849,150,0.553,17,0.294,0.542,0.625,23.6,5.5,8.9,5.1,26.3,2.09,0.36,1.91,10.6,129.7,99.6
,Kentavious Caldwell-Pope,Was,G,28.73,11,30.3,63.1,13.7,9.6,9,0.778,38,0.447,52,0.365,0.506,0.521,8.9,3.8,6.7,1.5,7.2,1.36,0.36,0.91,4.9,102.9,101.3
,Facundo Campazzo,Den,G,30.64,11,15.1,31.5,11.3,18.8,8,0.75,12,0.583,19,0.263,0.468,0.507,3.2,1.9,6.9,1.6,14.2,0.73,0.27,0.73,5.7,102,95.2
,Clint Capela,Atl,C,27.49,12,28.5,59.4,14.5,4.3,33,0.576,96,0.521,0,0,0.521,0.538,9.9,11,20.7,1,5.1,0.67,1.25,0.42,6.7,124.6,103.3
,Vernon Carey Jr.,Cha,F-C,20.71,1,0.8,1.7,51.6,0,0,0,1,0,0,0,0,0,0,1,64.7,0,0,0,0,0,0,,
,Wendell Carter Jr.,Orl,C-F,22.58,12,28.3,59,19.5,11.7,24,0.667,80,0.563,45,0.4,0.576,0.59,13.3,10.2,19,2.4,14.9,0.5,0.75,1.5,9.7,117.5,100.9
,Jevon Carter,Bro,G,26.16,12,14.5,30.3,10.9,9.3,2,1,14,0.214,24,0.25,0.316,0.334,2.2,1.8,6.2,1.3,12,0.5,0.42,0.33,4.8,82.5,99.9
,Alex Caruso,Chi,G,27.7,11,27.5,57.2,13.9,21.9,22,0.864,38,0.553,27,0.407,0.577,0.629,8.5,2.5,4.8,3.6,17.8,2.64,0.36,1.91,6.2,113.1,96.2
,Willie Cauley-Stein,Dal,C,28.24,11,10,20.8,8.4,9.5,0,0,18,0.444,1,0,0.421,0.421,1.5,2.4,12.3,0.5,6.4,0.27,0,0.18,4.9,105.7,104.8
,Justin Champagnie,Tor,G-F,20.37,5,3.3,6.9,10,0,2,1,3,0,0,0,0,0.258,0.4,1.4,22.9,0.2,7.3,0,0,0,5.8,,
,Chris Chiozza,Gol,G,25.98,4,6.9,14.4,17,27.3,0,0,1,0,7,0.286,0.375,0.375,1.5,1,7.7,0.8,13.7,0.5,0,0.75,6.2,73.9,95.2
,Josh Christopher,Hou,G,19.93,7,7.3,15.2,19.5,16.8,2,1,14,0.429,5,0.2,0.395,0.428,2.4,1,7.3,0.9,18.3,0.57,0,0.57,7.1,88.3,105
,Brandon Clarke,Mem,F,25.15,8,14.1,29.3,18.7,4,12,0.583,37,0.568,6,0,0.488,0.507,6.1,3.8,14.1,0.9,9.3,0.38,0.5,0.25,7.8,118.1,106.9
,Jordan Clarkson,Uta,G,29.43,12,25.1,52.3,29.8,9.6,26,0.885,66,0.53,111,0.234,0.418,0.454,14.3,2.7,5.7,1.7,10.7,0.75,0.33,1.67,6.4,93.1,103.4
,Nic Claxton,Bro,F-C,22.57,4,18.9,39.4,15.8,11.1,9,0.444,20,0.55,0,0,0.55,0.543,6.5,5.5,15.1,0.8,5.9,0,1,0.75,6.5,104,98.7
,Amir Coffey,Lac,G-F,24.41,7,6.9,14.3,16.2,5.5,7,1,4,0.25,10,0.2,0.286,0.439,2.1,1,7.5,0.3,5.4,0,0,0.14,5,98.1,100.5
,John Collins,Atl,F-C,24.14,12,31.1,64.8,17.7,9.7,28,0.821,94,0.628,33,0.455,0.642,0.668,15.5,8.5,14.6,2.3,11.7,0.75,0.75,1.25,8.6,131.6,105.3
,Mike Conley,Uta,G,34.09,10,28.9,60.2,19.9,12.7,17,0.882,44,0.545,65,0.431,0.606,0.631,14.7,2,3.7,5.2,28,1.5,0.3,1.7,7.4,126.3,101.3
,Pat Connaughton,Mil,G,28.85,12,29.2,60.9,14.6,9.1,6,0.667,30,0.667,77,0.377,0.593,0.597,10.9,5,8.8,1.8,9.2,0.83,0.25,0.92,6.3,118.4,106.7
,Sharife Cooper,Atl,G,20.42,2,3.4,7,25.6,25,0,0,1,0,2,0,0,0,0,0,0,1,35.5,0,0,0.5,0,,
,Petr Cornelie,Den,F,26.3,1,2.7,5.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Robert Covington,Por,F,30.91,12,29,60.4,9.6,14,1,1,10,0.6,57,0.404,0.604,0.608,6.8,4.9,9,1,4.5,1.17,0.75,0.92,4.4,109.8,105.1
,Torrey Craig,Ind,F,30.9,13,18.6,38.7,13.9,14.2,13,0.846,30,0.633,31,0.323,0.557,0.592,6.1,3.6,10.7,1.1,7.9,0.46,0.31,0.85,6.2,119.8,102.9
,Jae Crowder,Pho,F,31.35,10,29.7,61.8,13.4,7.6,9,0.889,28,0.536,53,0.302,0.481,0.506,8.6,5.4,9.7,1.8,7.7,1.4,0.5,0.7,5.9,104.6,102.9
,Jarrett Culver,Mem,G-F,22.73,2,7.8,16.3,18.1,0,4,0.75,3,0.667,2,0,0.4,0.518,3.5,1.5,10.2,1,17.7,0,0,0,8.9,130.1,121.1
,Cade Cunningham,Det,G,20.13,5,28.1,58.6,29.3,17.5,14,0.929,38,0.342,36,0.222,0.338,0.393,12.6,5.4,10.4,2.8,17,0.8,0.4,3.4,8.2,78.2,104.2
,Seth Curry,Phi,G,31.22,12,33.6,70,18.2,12.3,24,0.917,69,0.638,63,0.476,0.674,0.701,16.7,3.3,5.3,2.3,10.4,0.58,0.17,1.67,6,125.3,112.9
,Stephen Curry,Gol,G,33.66,11,33.7,70.1,32.1,12.5,59,0.949,77,0.519,141,0.39,0.562,0.617,27.4,6.5,10.1,6.5,32,1.55,0.55,3.18,12.5,119.2,98.2
,Anthony Davis,Lal,F-C,28.67,12,34.9,72.7,29.3,9.9,69,0.739,208,0.538,26,0.154,0.504,0.543,23.9,11.3,16.7,2.8,13.7,1,2.25,2.42,10.4,111.1,103.1
,Ed Davis,Cle,C-F,32.44,2,1.6,3.2,0,,0,0,0,0,0,0,,,0,0.5,17.3,0,0,0,0,0,0,,
,Terence Davis,Sac,G,24.49,9,12.9,26.8,19.9,7.4,0,0,20,0.4,30,0.233,0.37,0.37,4.1,1.4,5.9,0.8,8.4,0.44,0,0.44,5.2,78.1,100.4
,Gabriel Deck,Okc,F,26.76,4,5.4,11.1,17.7,11.3,2,1,5,0.6,2,0.5,0.643,0.698,2.8,0.8,7,0.3,8.3,0.25,0,0.25,6.5,129.7,111.2
,Dewayne Dedmon,Mia,C,32.25,12,13.4,28,16.7,14.4,19,0.789,43,0.558,2,1,0.6,0.647,5.8,5.2,20.7,0.3,3.7,0.33,0.25,0.75,6.2,124.7,86.7
,Sam Dekker,Tor,F,27.52,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,DeMar DeRozan,Chi,G-F,32.27,11,35,73,30.4,7.1,83,0.855,185,0.508,26,0.346,0.509,0.578,26,5.8,8.9,3.8,18.7,0.91,0.45,1.73,9.5,117.9,101.9
,Hamidou Diallo,Det,G,23.29,6,12.8,26.7,17,16.3,4,1,16,0.5,8,0.25,0.458,0.505,4.3,1.8,7.7,0.7,8.6,0.5,0.17,0.83,5.5,95,103.8
