RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Gorgui Dieng,Atl,C,31.82,12,10.5,21.9,13.7,17.3,10,0.6,15,0.4,14,0.286,0.414,0.449,2.5,4.9,25,1,12.5,0.33,0.33,0.58,8.8,107.4,95.2
,Spencer Dinwiddie,Was,G,28.6,10,29.4,61.2,23.9,10.7,28,0.964,78,0.449,52,0.365,0.488,0.541,15.4,5,9,5.7,30.5,0.3,0.2,1.7,10.3,114.1,101.4
,Luka Doncic,Dal,F-G,22.7,11,34.4,71.6,35.7,15.6,61,0.705,149,0.517,84,0.286,0.485,0.518,24.5,8,12.1,7,39.3,1.18,0.64,4.36,12.9,100.8,102.2
,Luguentz Dort,Okc,G,22.57,9,32.8,68.3,20.2,12.2,38,0.895,50,0.54,56,0.232,0.439,0.517,14.1,4.1,6.2,2,9.9,0.78,0.22,1.89,5.9,101.3,103.7
,Ayo Dosunmu,Chi,G,21.82,10,14.1,29.3,19.4,11.3,5,0.6,36,0.417,17,0.412,0.481,0.489,5.4,2.1,8,0.8,8.2,0.2,0.2,0.7,5.9,96.3,102.5
,Sekou Doumbouya,Lal,F,20.89,1,8.1,16.9,30.4,17,2,0.5,3,1,1,1,1.125,1.025,10,4,25.6,0,0,2,1,1,0,127.4,78.9
,Jeff Dowtin,Gol,G,24.51,2,2.9,5.9,7.5,0,0,0,1,0,0,0,0,0,0,1,18.6,0,0,0,0,0,0,,
,P.J. Dozier,Den,G-F,25.05,11,19.2,40,14.5,10.1,7,0.714,30,0.467,29,0.241,0.415,0.435,4.9,3.2,9.1,1.6,11.6,0.91,0.27,0.64,6.1,96,94.7
,Goran Dragic,Tor,G,35.52,4,15.4,32.1,18.3,3.8,8,1,13,0.385,9,0.222,0.364,0.47,6,2.5,8.8,1.5,13.7,0.5,0.25,0.25,7.3,112.5,100.2
,Andre Drummond,Phi,C,28.26,12,21.7,45.2,18.5,20.6,27,0.667,72,0.486,1,0,0.479,0.518,7.3,11.2,28.1,2.4,15.6,1.25,1.17,1.83,10.7,113.4,91.6
,Chris Duarte,Ind,G,24.42,13,32.6,67.9,20.9,10.8,17,0.765,100,0.45,75,0.4,0.514,0.529,14.8,4.4,7.4,2.1,9.5,0.85,0.08,1.69,6.3,101.9,107.1
,Kevin Durant,Bro,F,33.12,12,34.5,71.8,32.7,14.1,76,0.829,171,0.649,57,0.404,0.638,0.677,29.5,8.4,12.7,5,29.5,0.58,0.67,3.58,12.5,120.2,101.3
,Anthony Edwards,Min,G,20.27,10,36.7,76.5,30.8,12,43,0.767,124,0.5,99,0.343,0.507,0.535,25.9,6.2,8.6,3.5,18.3,1.6,0.5,3.3,9,104.9,108.9
,CJ Elleby,Por,F-G,21.41,6,5.3,11,17.5,23.1,0,0,5,0.4,5,0.2,0.35,0.35,1.2,1.2,11.7,0.2,4.1,0,0,0.5,5,58.6,103.7
,Wayne Ellington,Lal,G,33.95,4,19.8,41.1,13.2,4,2,1,2,0.5,21,0.429,0.63,0.649,7.8,2,5.3,0.8,5.1,0,0,0.25,4.7,130.5,110.8
,Joel Embiid,Phi,C-F,27.66,9,30.9,64.3,32.3,13.6,77,0.779,105,0.448,33,0.394,0.482,0.561,21.4,9.4,16.7,4,20.5,0.89,1.44,3,12,110.6,102.6
,Drew Eubanks,San,F-C,24.78,11,15.1,31.4,18.9,21.7,27,0.741,44,0.591,2,0,0.565,0.622,6.5,4.7,16.6,1.4,12.1,0.55,1.18,1.45,9.3,110.5,97.2
,Tacko Fall,Cle,C,25.92,3,1,2.2,28,50,0,0,1,0,0,0,0,0,0,0.7,34.6,0,0,0,0,0.33,0,,
,Derrick Favors,Okc,F,30.33,9,18,37.5,14.9,7.1,8,0.75,47,0.532,2,0.5,0.541,0.562,6.6,5.9,16.3,0.6,5.2,0.56,0.11,0.44,6.4,121,98.4
,Bruno Fernando,Bos,F-C,23.24,3,2,4.2,14.6,100,0,0,0,0,0,0,,,0,0,0,0.3,21,0,0.33,0.67,0,,
,Dorian Finney-Smith,Dal,F,28.53,11,31.2,65,14,13.7,14,0.643,34,0.471,54,0.259,0.42,0.441,7.5,4.9,8.2,1.2,5.4,1.45,0.73,1.36,4.5,94.6,102
,Malik Fitts,Uta,F,20,3,2.3,4.9,0,,0,0,0,0,0,0,,,0,0.7,15.4,0,0,0,0,0,0,,
,Malachi Flynn,Tor,G,23.51,7,4.9,10.2,11.1,0,0,0,5,0.2,4,0.5,0.444,0.444,1.1,0.6,6.3,0.7,19.6,0.57,0,0,6.3,119.3,93.6
,Bryn Forbes,San,G,28.31,11,12,25,20.5,11,4,0.5,24,0.417,31,0.452,0.564,0.564,5.8,0.8,3.6,0.5,5.2,0.09,0,0.64,4.4,98.8,107.1
,Trent Forrest,Uta,G,23.42,7,8.4,17.5,5.8,38.1,2,1,4,0.5,0,0,0.5,0.615,0.9,0.7,4.6,0.6,8.6,0.29,0,0.43,3.4,95.5,100.9
,Evan Fournier,Nyk,G-F,29.04,12,29.5,61.4,20.9,8.9,21,0.762,61,0.492,83,0.361,0.521,0.542,13.8,3,5.4,2,10.4,1.08,0.33,1.25,5.9,107.7,110.6
,De'Aaron Fox,Sac,G,23.9,12,35.4,73.8,29.3,14.4,68,0.706,166,0.476,54,0.222,0.441,0.484,20.2,3.8,5.7,6.1,27,1.5,0.67,3.5,8.8,97.6,105.9
,Daniel Gafford,Was,F-C,23.12,9,19.1,39.9,15.9,12.9,16,0.688,47,0.681,0,0,0.681,0.694,8.3,4.8,13.2,0.6,4.6,0.78,1.67,0.89,6,132.1,97
,Danilo Gallinari,Atl,F,33.26,9,16.8,34.9,18.6,9.2,12,0.833,25,0.36,29,0.379,0.472,0.515,6.8,3,9.6,0.4,3.7,0.44,0.11,0.67,4.8,105.8,111.9
,Darius Garland,Cle,G,21.79,10,33.4,69.6,22.1,23.6,20,0.85,61,0.541,60,0.417,0.583,0.609,15.8,2.2,3.5,7.2,33.5,1.1,0.1,4,7.5,106.4,109.2
,Marcus Garrett,Mia,G,23.01,2,3.5,7.3,6.2,0,0,0,1,0,0,0,0,0,0,0,0,1,34.5,0,0,0,0,,
,Usman Garuba,Hou,F,19.68,5,6,12.6,13.8,20,0,0,3,0.667,5,0.2,0.438,0.438,1.4,2,17.6,0.8,19.5,0.4,0.8,0.4,8.7,104.1,98.3
,Luka Garza,Det,C,22.88,5,7.9,16.4,17.4,12.3,5,0.8,6,0.5,6,0.333,0.5,0.563,3.2,1.2,8.2,0.2,4.2,0.8,0.2,0.4,4.6,110.5,82
,Paul George,Lac,F,31.53,11,35.3,73.6,34.5,15.8,47,0.872,144,0.521,97,0.361,0.529,0.566,26.9,7.9,11.5,5.4,27.6,2.55,0.45,4.45,11.9,102.9,94.1
,Taj Gibson,Nyk,F,36.39,7,19.6,40.9,9.2,13.9,4,1,20,0.65,3,0,0.565,0.606,4.3,5.3,14.3,0.7,5,0.29,1.29,0.57,5.1,133.6,96.6
,Josh Giddey,Okc,G,19.09,10,29.4,61.1,20,20.3,13,0.615,74,0.446,30,0.267,0.433,0.447,9.8,6.7,11.4,6.2,34.6,1.4,0.6,2.8,10.1,95.2,100.8
,Shai Gilgeous-Alexander,Okc,G-F,23.34,10,35.1,73.1,27.6,10.6,57,0.807,111,0.486,67,0.358,0.506,0.556,22.6,5.4,7.7,4.5,24.3,0.8,0.6,2.4,9.3,110.4,105.6
,Rudy Gobert,Uta,C,29.38,12,30.8,64.2,17.5,18,87,0.667,85,0.718,0,0,0.718,0.73,15,15.5,27.2,0.9,4.5,1,1.83,2.25,7.7,131,91.9
,Aaron Gordon,Den,F,26.16,11,30.1,62.7,18,15.6,25,0.68,72,0.583,31,0.29,0.539,0.561,11.6,6.2,11.2,1.8,8.9,0.45,0.91,1.91,6.7,106.9,98.6
,Eric Gordon,Hou,G,32.88,9,27.2,56.6,19.1,17,26,0.731,42,0.5,39,0.513,0.63,0.654,13.4,1.9,3.7,1.7,10,0.56,0.22,2.11,5.2,110.6,111.9
,Devonte' Graham,Nor,G,26.72,12,32.6,67.9,22.3,10.6,37,0.757,63,0.413,107,0.346,0.479,0.513,15.9,2.8,4.4,5.5,27.2,1.42,0.08,1.83,7.7,108.6,114.6
,Jerami Grant,Det,F,27.67,9,33.1,69.1,26,10.9,45,0.8,92,0.457,51,0.314,0.462,0.516,18.7,5,8.2,2.6,14.3,1.22,1.33,2.22,7.5,102.1,107.3
,Danny Green,Phi,G,34.39,10,24.1,50.1,12,12.5,0,0,3,1,53,0.396,0.616,0.616,6.9,2.3,5.2,1.1,6.1,1.2,0.9,0.8,4.3,112.5,106.6
,Draymond Green,Gol,F,31.69,11,29.6,61.7,14.6,29.4,32,0.531,55,0.545,10,0.3,0.531,0.544,7.8,8.2,14.6,7.2,31.7,1.45,0.82,3,10.4,111.1,92
,Javonte Green,Chi,G-F,28.31,11,19.5,40.7,11.4,7.2,8,0.875,35,0.571,13,0.385,0.573,0.602,5.6,4,11,0.7,5.1,0.91,0.36,0.36,5.1,129,97.4
,Jalen Green,Hou,G,19.76,11,32.7,68.2,23.1,15.6,34,0.765,72,0.444,81,0.284,0.435,0.473,14.5,3.3,5.3,2.9,14.2,0.73,0.36,2.82,6.3,89.8,109.6
,JaMychal Green,Den,F-C,31.39,11,13.7,28.5,19.8,28.1,8,0.875,24,0.792,21,0.143,0.522,0.556,4.9,3.3,13.1,0.5,5.8,0.82,0.45,1.73,5.9,87,85.9
,Jeff Green,Den,F,35.21,11,18.9,39.5,20.2,9.4,26,0.769,48,0.521,27,0.185,0.433,0.492,7.7,1.8,5.3,0.9,7,0,0.27,0.82,4.9,97,98
,Josh Green,Dal,G,20.99,7,5.3,11,13.1,18.2,0,0,7,0.429,2,0,0.333,0.333,0.9,1.4,14.1,0.3,7.7,0,0.14,0.29,5.5,84,106.6
,Blake Griffin,Bro,F,32.66,11,22.3,46.6,15.2,7.1,16,0.625,28,0.5,43,0.209,0.387,0.416,5.9,5.5,12.9,1.9,11.8,0.36,0.27,0.55,7.1,99.7,96.3
,Quentin Grimes,Nyk,G,21.51,4,4.5,9.4,14.6,0,0,0,0,0,6,0.5,0.75,0.75,2.3,0.3,2.9,0,0,0,0,0,0,143.2,119.9
,Tyrese Haliburton,Sac,G,21.7,10,32.6,67.9,17.5,10.5,18,0.833,77,0.532,35,0.371,0.54,0.567,13.6,3.5,5.7,5,22.4,1.5,1.1,1.4,7.6,117.7,111.6
,R.J. Hampton,Orl,G,20.76,12,18.1,37.8,20.7,18.2,19,0.579,47,0.426,30,0.433,0.513,0.527,7.5,2.8,8.3,1.7,15.2,0.33,0.33,1.58,7.3,95.7,106.7
,Tim Hardaway Jr.,Dal,G-F,29.66,11,31.9,66.4,18.7,4.7,29,0.759,46,0.478,84,0.393,0.55,0.578,15,3.5,5.6,2.3,11.3,0.91,0.09,0.64,6.2,118.6,106
,James Harden,Bro,G,32.21,12,33.9,70.6,26.7,22.9,56,0.875,75,0.427,89,0.393,0.515,0.578,18.2,8,12.2,8.8,39.6,1.08,0.83,4.67,12.8,107.5,98
,Maurice Harkless,Sac,F-G,28.51,11,22.7,47.3,9.4,10.9,5,0.8,17,0.647,30,0.267,0.489,0.508,4.5,3.1,7.2,0.6,3.6,0.45,0.55,0.55,3.6,96.7,106.9
,Montrezl Harrell,Was,F-C,27.79,11,29.6,61.7,21.1,9.6,69,0.841,106,0.66,5,0.2,0.644,0.711,18.3,9.3,16.5,1.9,10.7,0.64,1.09,1.36,9.3,140.3,97.6
,Gary Harris,Orl,G,27.16,7,22.2,46.3,15.6,19.5,3,0.667,31,0.484,13,0.154,0.409,0.419,5.4,1.6,3.8,1.7,11.9,0.29,0.14,1.57,4.4,81.8,112.7
,Joe Harris,Bro,G-F,30.18,12,31,64.6,15.4,12.4,6,0.833,32,0.375,78,0.436,0.573,0.581,10.9,4.3,7.1,1.1,5,0.5,0.17,1.33,4.8,101.6,100.9
,Tobias Harris,Phi,F,29.33,7,33.6,70,25.2,9.9,14,0.929,81,0.605,31,0.29,0.558,0.584,19.7,8.7,14.2,4.6,22.6,0.14,0.43,1.86,11,116.6,108.3
,Isaiah Hartenstein,Lac,C-F,23.52,10,15.8,32.9,17.3,15.8,19,0.579,44,0.659,1,0,0.644,0.647,6.9,5.1,16.6,1.2,11.7,0.8,0.8,1,8.8,125.6,83.5
,Josh Hart,Nor,G,26.69,8,25.9,54,15.7,11.6,18,0.722,42,0.643,19,0.368,0.615,0.638,11,5.6,11.3,2.4,14.8,0.5,0.25,1.13,8.2,123.3,106
,Udonis Haslem,Mia,F,41.43,3,3.2,6.7,22.5,0,0,0,4,0.5,1,0,0.4,0.4,1.3,0.7,11.2,0,0,0,0,0,0,,
,Jaxson Hayes,Nor,C-F,21.47,11,12.1,25.1,20.6,13.8,23,0.739,40,0.55,6,0.167,0.511,0.57,5.8,3.5,15,0.2,2.5,0.36,0.91,0.82,5.3,111,103.7
,Killian Hayes,Det,G,20.3,9,25.3,52.7,15,18.6,8,0.875,38,0.263,24,0.375,0.379,0.412,6,2.6,5.5,2.9,17.5,1.22,0.22,1.67,5.6,86.4,103.8
,Gordon Hayward,Cha,F,31.64,13,35.4,73.8,20.5,14.4,48,0.875,110,0.5,65,0.462,0.571,0.617,18.6,5,7.3,3.4,14,0.62,0.31,2.54,7.7,112.9,113.4
,Aaron Henry,Phi,F,22.2,1,2.1,4.4,21.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Juancho Hernangomez,Bos,F,26.12,5,2.8,5.8,31.1,30.4,2,0.5,3,0.333,3,0.333,0.417,0.436,1.2,1,19.2,0,0,0.4,0,0.6,0,,
,Willy Hernangomez,Nor,C-F,27.46,2,7,14.6,17.2,17.4,4,1,3,0.667,0,0,0.667,0.84,4,2,14.9,1,22.4,0,0,0.5,11.4,150.6,91.6
,Tyler Herro,Mia,G,21.81,12,33,68.7,27.6,10.7,29,0.828,129,0.504,84,0.393,0.538,0.56,21.1,5.5,9,3.8,20,0.33,0,2.25,9.2,110.3,105
,Buddy Hield,Sac,G,28.9,12,29.1,60.7,24.3,11.1,18,0.833,41,0.463,128,0.391,0.556,0.574,16.9,5,9,1.8,9.6,0.92,0.33,1.83,7.3,107,104.9
,George Hill,Mil,G,35.53,12,27.9,58,12.3,14.5,11,0.909,47,0.489,31,0.387,0.526,0.555,7.7,3.6,6.7,3.2,15.8,1,0.17,1.17,6.4,115.8,105.2
,Solomon Hill,Atl,F,30.66,5,15.5,32.3,6.7,8.3,0,0,3,0,8,0.25,0.273,0.273,1.2,2.6,9,1.6,12.7,0.4,0.2,0.2,4.4,92.5,100.6
,Aaron Holiday,Was,G,25.12,11,16,33.2,16.5,16.7,13,0.769,32,0.406,17,0.471,0.51,0.548,5.5,1.8,6,1.7,15.5,0.27,0.45,1,6.4,103.4,99.3
,Jrue Holiday,Mil,G,31.42,6,25.8,53.8,24.1,17.1,6,0.667,43,0.442,27,0.444,0.529,0.537,13,3.8,7.7,4.2,25.8,0.83,0.33,2.5,9.2,101.8,105.2
,Justin Holiday,Ind,F-G,32.61,13,29.6,61.6,13.7,12.3,2,1,22,0.455,84,0.333,0.491,0.496,8.2,2.8,5.3,1.5,6.6,0.69,0.23,1.15,4.4,95.9,107.2
,Richaun Holmes,Sac,F,28.08,12,26.6,55.5,18.4,14.5,33,0.879,100,0.66,3,0.667,0.67,0.711,13.9,10.7,21.1,1.4,8.3,0.33,1,1.67,8.9,132.4,96.9
,Rodney Hood,Mil,G-F,29.06,7,13.1,27.2,13.1,3.6,7,1,5,0,19,0.368,0.438,0.517,4,1.9,7.4,0.7,7.3,0.14,0,0.14,5.3,116.8,104.3
,Al Horford,Bos,C-F,35.44,9,28.9,60.3,20.1,8.4,22,0.909,60,0.567,40,0.25,0.49,0.538,13.1,8.9,16.4,3.1,17.2,0.89,2.33,1.11,9.9,114.3,98.5
,Danuel House Jr.,Hou,F-G,28.43,4,13.1,27.3,15.8,10.1,2,1,8,0.25,9,0.444,0.471,0.503,4.5,2.8,11.1,1.3,14.3,0.5,0,0.5,7.8,105.4,108.9
,Dwight Howard,Lal,C-F,35.93,10,14.1,29.3,12.8,27.9,25,0.64,19,0.632,1,1,0.675,0.694,4.3,4.7,17.4,0.4,3.7,1,0.7,1.2,5.7,108.3,88.6
,Markus Howard,Den,G,22.7,4,3.9,8,11.5,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0.5,0,,
,Kevin Huerter,Atl,G-F,23.21,11,22.3,46.4,18.9,14.8,4,0.75,50,0.52,40,0.35,0.522,0.529,8.8,3.1,7.4,2,13.3,0.27,0.36,1.45,6.8,99.4,109.3
,Jay Huff,Lal,C,24.22,1,8.1,16.9,5.2,0,0,0,0,0,1,0,0,0,0,2,12.8,1,14.2,0,0,0,0,98.6,114.9
,Elijah Hughes,Uta,G,23.68,4,2.7,5.7,11.4,0,2,1,1,0,1,0,0,0.347,0.5,0.3,5,0,0,0,0,0,0,,
,De'Andre Hunter,Atl,F-G,23.95,10,28.5,59.3,18.6,11.3,10,0.4,69,0.493,36,0.417,0.538,0.535,11.7,2.8,5.3,0.7,3.7,0.7,0.3,1.4,4,97.6,107.1
,Chandler Hutchison,Pho,F-G,25.55,1,6.4,13.3,20.2,66.7,0,0,1,1,0,0,1,1,2,2,16.7,0,0,0,0,2,0,45.1,92.1
,Bones Hyland,Den,G,21.16,8,15.8,33,22.9,10.7,6,0.833,20,0.5,36,0.306,0.473,0.495,7.3,1.5,5.2,2,18.9,1,0.25,0.88,7.1,99.7,96.7
,Serge Ibaka,Lac,F,32.15,2,6.9,14.4,18.8,16.7,0,0,3,0,2,0,0,0,0,2,14.9,0.5,8.7,0,0.5,0.5,0,11.2,64.8
,Andre Iguodala,Gol,G-F,37.79,9,20.9,43.5,9.7,16.4,4,0.5,14,0.643,20,0.2,0.441,0.447,3.6,4.1,10.4,4.1,24.7,0.89,0.78,0.78,7.5,116.5,98.2
,Joe Ingles,Uta,F-G,34.11,12,25.2,52.5,12.1,14.2,4,1,14,0.643,57,0.421,0.634,0.646,7.8,3.2,6.8,2.9,16.2,0.25,0.17,1,6.6,127.3,103.7
,Brandon Ingram,Nor,F,24.2,6,37,77.2,30.4,13,16,0.688,100,0.47,33,0.455,0.523,0.536,25,7.3,10.3,4.8,26,0.33,0.5,3.5,10.3,101,109.7
,Jaren Jackson Jr.,Mem,F-C,22.16,11,27.1,56.6,23.2,11.5,26,0.962,63,0.413,72,0.361,0.481,0.529,14.1,6,11.7,1.3,6.9,0.73,1.91,1.73,7.1,104.5,103.6
,Frank Jackson,Det,G,23.53,10,18.4,38.3,18.6,9.9,8,0.625,27,0.556,42,0.214,0.413,0.427,6.2,1.4,4.1,0.4,3.6,0.5,0,0.8,3.3,82.8,108.4
,Isaiah Jackson,Ind,F,19.84,2,5.8,12,10.8,0,2,0.5,2,0.5,0,0,0.5,0.521,1.5,2,19.1,0,0,0.5,0,0,0,124.5,76.4
,Josh Jackson,Det,G-F,24.75,10,22.1,46,18.7,13.4,19,0.632,41,0.561,35,0.257,0.48,0.504,8.5,4.2,10.3,2.1,16.1,0.6,0.5,1.3,7.6,100.2,102.9
,Reggie Jackson,Lac,G,31.58,11,34.9,72.6,24.4,8.8,19,0.895,93,0.441,96,0.344,0.479,0.502,18,3.5,5.1,4.3,19.1,0.64,0,1.73,7.4,103,105.5
,LeBron James,Lal,F,36.87,6,37.1,77.2,29.6,15.9,23,0.783,73,0.548,49,0.347,0.537,0.564,24.8,5.5,7.7,7,30.8,2.33,0.83,4.17,10.6,105.4,103.9
,DeJon Jarreau,Ind,G,23.8,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Ty Jerome,Okc,G-F,24.35,7,13.2,27.4,20.9,6.6,5,0.6,12,0.417,28,0.25,0.388,0.403,4.9,1.3,4.9,1.3,15.8,0.86,0,0.43,6.1,87.6,99.5
,Isaiah Joe,Phi,G,22.36,7,7.7,16.1,15,11.1,0,0,4,0.25,12,0.333,0.438,0.438,2,0.4,3,0.3,4.9,0,0,0.29,3.2,83,113.5
,Alize Johnson,Chi,F,25.56,7,8.5,17.7,12.1,24.5,3,0.667,11,0.727,0,0,0.727,0.731,2.6,3,19,0.6,9.4,0.14,0,0.57,7.9,132.4,94.3
,Cameron Johnson,Pho,F,25.69,10,21.2,44.2,15.5,2.6,5,0.8,31,0.355,41,0.317,0.424,0.438,6.5,2.4,6,1,6.1,0.9,0.4,0.2,4.7,95.6,106.2
,David Johnson,Tor,G,20.71,1,0.5,1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,James Johnson,Bro,F,34.73,5,11.2,23.4,10.1,23.5,4,0.5,5,0.4,3,0,0.25,0.307,1.2,1.2,5.5,0.6,6.8,0.4,0.4,0.6,3.4,65.3,98.9
,Jalen Johnson,Atl,F,19.9,4,3.7,7.7,25.8,0,2,1,5,0.6,3,0.667,0.75,0.788,3.5,0.8,10.9,0,0,0,0,0,0,,
,Keldon Johnson,San,F-G,22.09,11,30.3,63.1,23.6,8.1,43,0.651,129,0.504,23,0.174,0.467,0.497,15.5,6.4,11.1,2.1,9.9,1.36,0.27,1.36,7.8,100.8,102
,Keon Johnson,Lac,G,19.68,1,0.7,1.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Nikola Jokic,Den,C,26.73,10,31.8,66.3,30.6,16.3,53,0.792,121,0.678,40,0.4,0.658,0.689,25.4,13.6,23.4,5.7,34.1,1.6,1.1,3.6,15.8,125.6,88.8
,Derrick Jones Jr.,Chi,F,24.74,7,16.2,33.8,11.7,0,14,1,13,0.846,11,0.182,0.583,0.696,6,3.1,10.4,0.3,2.4,0.57,1.14,0,4.4,156.5,99.6
,Damian Jones,Sac,C,26.37,3,7.5,15.6,7.6,25,0,0,3,1,0,0,1,1,2,2.3,16.5,0.7,12.5,0,0.33,0.33,7.9,163.8,94.4
,Herbert Jones,Nor,F,23.1,9,25.2,52.5,12.3,22.5,8,0.625,42,0.524,6,0.167,0.49,0.505,5.8,2.7,5.5,1.9,11,1.22,0.56,1.67,4.9,94.7,105.4
,Kai Jones,Cha,C-F,20.81,4,1.2,2.4,26.9,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.75,0,,
,Tre Jones,San,G,21.84,10,6.5,13.6,16.5,7.9,3,1,21,0.524,1,0,0.5,0.536,2.5,0.6,4.9,1,20.8,0.2,0,0.2,7,112.9,104.8
